식품이름,총내용량,열량(kcal),탄수화물(g),단백질(g),지방(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방(g)
닭꼬치,70,176.72,13.35,11.56,8.57,3.15,286.91,31.44,2.32,0.04
더덕구이,100,184.0,31.1,3.1,5.2,11.6,743.37,0.12,0.8,0.0
돼지갈비,100,240.32,8.1,19.5,14.4,4.5,404.66,49.34,4.7,0.1
붕장어소금구이,100,296.54,11.6,26.0,16.2,0.4,124.75,167.07,3.6,0.2
김치국,450,89.0,10.5,5.4,2.8,2.9,1642.08,0.0,0.3,0.0
맑은감자국,700,221.0,34.6,8.3,5.5,5.2,1712.29,5.46,0.2,0.0
무된장국,450,104.0,14.7,6.1,2.4,5.9,1741.46,0.0,0.3,0.0
미소된장국,150,38.0,2.8,2.8,1.8,0.7,517.03,0.0,0.2,0.0
바지락조개국,550,157.0,10.1,22.0,3.1,1.3,1596.17,89.36,0.6,0.0
시래기된장국,450,99.0,11.0,6.7,3.1,1.3,1523.66,0.0,0.3,0.0
올갱이국,600,144.26,13.0,13.7,4.2,1.6,2017.16,85.36,0.8,0.0
우거지해장국,600,154.38,13.5,11.9,5.9,2.5,2049.59,22.37,1.2,0.0
우렁된장국,500,245.0,19.2,24.6,7.7,3.6,2134.21,105.38,1.1,0.0
홍합미역국,650,167.0,11.6,19.7,4.7,0.0,2043.68,58.4,0.9,0.0
황태해장국,600,181.7,5.7,24.5,6.8,1.5,1533.09,150.3,1.1,0.0
도토리묵말이,1300,462.39,89.7,6.8,8.5,6.3,3206.03,0.0,1.2,0.0
생선물회,800,577.97,82.5,34.3,12.3,52.0,2779.74,101.88,2.0,0.0
오징어순대,350,466.86,58.3,45.7,5.6,0.4,1258.71,517.44,1.4,0.0
초당순두부,900,522.69,15.8,49.1,29.2,0.9,1203.36,0.0,3.8,0.0
해파리냉채,150,91.0,13.4,6.2,1.4,11.4,508.77,40.33,0.3,0.0
고들빼기,50,55.53,10.93,1.58,0.61,2.84,742.43,2.98,0.07,0.0
열무얼갈이김치,50,17.68,2.61,1.07,0.33,0.46,339.9,1.03,0.04,0.0
미나리나물,50,29.53,2.24,1.02,1.83,0.0,150.33,0.0,0.25,0.01
취나물,50,74.1,3.31,1.38,6.15,0.0,281.86,0.0,0.84,0.03
콩나물,50,25.34,0.94,1.68,1.65,0.02,213.95,0.0,0.22,0.01
경단(깨),100,319.47,74.22,4.44,0.54,26.64,180.0,0.0,0.46,0.0
경단(콩),100,314.32,74.03,3.51,0.46,20.55,225.83,0.0,0.19,0.0
기피편,100,219.97,48.99,5.45,0.25,2.08,281.06,0.0,0.13,0.0
녹두시루떡,100,246.07,48.08,7.74,2.53,4.05,263.66,0.0,0.52,0.0
메밀전병,100,167.83,21.62,6.19,6.29,0.62,345.81,8.05,1.19,0.04
무지개떡,100,228.97,53.01,3.53,0.31,8.99,276.82,0.0,0.16,0.0
송편(깨),100,224.15,44.96,4.93,2.74,1.15,231.82,0.0,0.48,0.0
송편(콩),100,194.33,41.66,5.24,0.75,1.26,233.5,0.0,0.24,0.0
수수부꾸미,100,247.89,42.1,5.73,6.29,0.24,261.0,0.0,0.97,0.03
수수팥떡,100,204.24,43.03,6.7,0.59,2.82,241.93,0.0,0.17,0.0
시루떡,100,217.48,47.54,5.47,0.61,3.22,277.91,0.0,0.24,0.0
쑥떡,100,248.64,57.89,3.36,0.4,10.73,254.32,0.0,0.2,0.0
절편,100,192.89,43.94,3.64,0.29,0.07,265.87,0.03,0.19,0.0
찹쌀떡,100,276.87,65.61,3.27,0.15,17.54,225.61,0.0,0.15,0.0
기스면,1000,606.93,89.79,37.82,10.72,0.5,2764.59,416.55,2.12,0.0
김치우동,800,500.18,99.14,15.55,4.6,2.13,2874.6,14.13,0.83,0.0
냉김치말이국수,600,302.53,52.0,12.9,4.8,8.3,2121.62,88.95,1.1,0.0
닭칼국수,900,663.0,94.7,42.2,12.8,5.3,2125.17,95.67,2.5,0.0
둘깨칼국수,600,457.88,59.8,17.6,16.5,1.4,1192.57,3.36,1.5,0.0
막국수,1000,571.59,109.8,20.0,5.8,9.4,3260.05,43.17,1.0,0.0
삼선우동,1000,691.66,105.9,47.94,8.48,0.8,2722.32,620.9,2.02,0.0
열무냉면,800,525.49,97.52,20.84,5.78,27.15,3152.37,67.78,1.36,0.0
올갱이국수,1500,566.0,111.6,11.2,8.3,18.6,3862.84,0.0,1.5,0.0
골뱅이무침,100,108.79,15.69,7.08,1.97,10.47,525.52,38.35,0.26,0.02
노각무침,150,84.0,14.3,2.6,1.8,7.1,817.37,0.0,0.2,0.0
단무지무침,50,20.0,2.8,0.5,0.8,0.7,428.92,0.0,0.1,0.0
달래나물무침,150,136.0,23.8,4.0,2.8,11.2,867.04,0.0,0.3,0.0
더덕무침,150,216.0,43.4,4.3,2.8,20.2,1246.58,0.17,0.4,0.0
도토리묵,100,45.6,10.38,0.29,0.32,0.43,124.15,0.0,0.03,0.0
서대회무침,300,315.21,45.9,22.6,4.6,22.3,1198.9,67.71,0.5,0.0
쑥갓나물무침,150,96.0,6.6,4.5,5.7,0.3,709.99,0.05,0.7,0.0
쥐치채,20,55.92,10.9,2.75,0.15,4.55,296.34,8.57,0.19,0.01
청포묵무침,250,149.0,22.7,2.9,5.2,1.8,724.02,0.0,0.8,0.0
탕평채,100,97.5,12.26,3.55,3.81,0.4,260.4,47.24,0.73,0.03
홍어무침,200,198.94,25.95,17.85,2.63,14.46,802.04,57.03,0.36,0.0
고추장불고기 삼각김밥,100,165.29,34.11,3.66,1.58,0.21,342.92,3.51,0.45,0.01
곤드레나물밥,350,521.83,98.9,10.3,9.5,0.0,90.62,0.0,0.9,0.0
